TradeID,Buy_Time,Sell_Time,Symbol,Buy_Price,Sell_Price,Contracts,ProfitLoss,ProfitPercent,Profitable,Buy_Comm,Sell_Comm
1,2023-01-03 09:30:38,2023-01-03 09:31:41,SPY 230104P385,2.98,3.2,1,22.0,7.38%,1,1.0,1.0
2,2023-01-03 09:37:07,2023-01-03 09:37:42,SPY 230104C385,2.36,2.27,1,-9.0,-3.81%,0,1.0,1.0
3,2023-01-03 09:43:37,2023-01-03 09:44:19,SPY 230104P385,1.93,2.1,2,34.0,8.81%,1,2.0,2.0
4,2023-01-04 09:31:10,2023-01-04 09:31:28,SPY 230105C383,2.71,2.6,2,-22.0,-4.06%,0,2.0,2.0
5,2023-01-05 09:30:31,2023-01-05 09:30:37,SPY 230106C382,2.93,2.85,1,-8.0,-2.73%,0,1.0,1.0
6,2023-01-05 09:30:51,2023-01-05 09:31:03,SPY 230106C382,2.95,2.85,1,-10.0,-3.39%,0,1.0,1.0
7,2023-01-06 09:30:38,2023-01-06 09:30:43,SPY 230109C383,2.35,2.27,1,-8.0,-3.40%,0,1.0,1.0
8,2023-01-06 09:30:59,2023-01-06 09:31:06,SPY 230109C383,2.34,2.21,1,-13.0,-5.56%,0,1.0,1.0
9,2023-01-09 09:30:46,2023-01-09 09:31:08,SPY 230110C390,2.39,2.37,1,-2.0,-0.84%,0,1.0,1.0
10,2023-01-09 09:31:38,2023-01-09 09:31:43,SPY 230110C390,2.46,2.34,1,-12.0,-4.88%,0,1.0,1.0
11,2023-01-10 09:30:59,2023-01-10 09:31:19,SPY 230113P385,3.55,3.42,1,-13.0,-3.66%,0,1.0,1.0
12,2023-01-11 09:33:32,2023-01-11 09:34:37,SPY 230112C395,2.83,2.86,1,3.0,1.06%,1,1.0,1.0
13,2023-01-11 09:42:07,2023-01-11 09:43:13,SPY 230112C393,4.02,4.24,1,22.0,5.47%,1,1.0,1.0
14,2023-01-11 09:44:02,2023-01-11 09:44:13,SPY 230112P392,3.62,3.59,1,-3.0,-0.83%,0,1.0,1.0
15,2023-01-11 09:44:42,2023-01-11 09:45:01,SPY 230112P392,3.65,3.56,1,-9.0,-2.47%,0,1.0,1.0
16,2023-01-11 09:45:13,2023-01-11 09:46:09,SPY 230112P392,3.64,3.65,1,1.0,0.27%,1,1.0,1.0
17,2023-01-11 09:46:32,2023-01-11 09:47:31,SPY 230112P392,3.66,3.69,1,3.0,0.82%,1,1.0,1.0
18,2023-01-11 09:48:54,2023-01-11 09:50:39,SPY 230112P392,3.62,3.7,1,8.0,2.21%,1,1.0,1.0
19,2023-01-11 09:57:32,2023-01-11 09:58:50,SPY 230112P392,3.82,3.97,1,15.0,3.93%,1,1.0,1.0
20,2023-01-12 09:33:41,,SPY 230113C396,2.44,2.34,2,-20.0,-4.10%,0,2.0,2.0
21,,,SPY 230117P392,1.47,1.56,1,9.0,6.12%,1,1.0,1.0
22,,,SPY 230117P392,1.47,1.59,1,12.0,8.16%,1,1.0,1.0
23,,,SPY 230117C395,1.7,1.81,1,11.0,6.47%,1,1.0,1.0
24,,,SPY 230117C395,1.7,1.71,1,1.0,0.59%,1,1.0,1.0
25,,,SPY 230117P394,1.86,1.8,2,-11.0,-2.96%,0,2.0,2.0
26,,,SPY 230117P394,1.86,1.78,2,-16.0,-4.30%,0,2.0,2.0
